City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
9,Kavieng,PG,81.72,-2.57,150.8,Nusa Island Retreat
11,Mahebourg,MU,77.0,-20.41,57.7,Shandrani Beachcomber Resort & Spa
13,Avarua,CK,75.2,-21.21,-159.78,Paradise Inn
14,Lahad Datu,MY,76.8,5.03,118.33,The 27th House
17,Kapaa,US,80.6,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
22,Sibolga,ID,75.65,1.74,98.78,Hotel Syariah CN Darussalam
26,Hithadhoo,MV,82.72,-0.6,73.08,Scoop Guest House
27,Palu,ID,77.32,-0.89,119.87,Hotel Santika Palu
30,Benguela,AO,78.8,-12.58,13.41,Hotel Praia Morena
45,Bambous Virieux,MU,77.0,-20.34,57.76,Casa Tia Villa
47,Tamandare,BR,83.03,-8.76,-35.1,
48,Buala,SB,80.08,-8.14,159.59,
51,Morgan City,US,78.01,29.7,-91.21,
52,Sao Filipe,CV,82.09,14.9,-24.5,
55,Arraial Do Cabo,BR,75.2,-22.97,-42.03,
58,Ankazoabo,MG,82.36,-22.28,44.52,
59,Saint-Marc,HT,83.23,19.11,-72.69,
60,Butaritari,KI,82.09,3.07,172.79,
66,Mitsamiouli,KM,78.06,-11.38,43.28,
68,Abong Mbang,CM,76.53,3.98,13.18,
70,Ixtapa,MX,82.0,20.7,-105.2,
71,Port Moresby,PG,77.0,-9.44,147.18,
74,Lata,PT,79.0,40.16,-8.33,
80,Atuona,PF,77.54,-9.8,-139.03,
84,Nago,JP,75.2,26.59,127.98,
87,Saint-Philippe,RE,77.0,-21.36,55.77,
88,Hambantota,LK,82.4,6.12,81.12,
93,Ranong,TH,78.22,9.97,98.63,
95,Conde,BR,87.8,-7.26,-34.91,
96,Kalengwa,ZM,83.46,-13.47,25.0,
97,Trinidad,BO,87.8,-14.83,-64.9,
100,Sulangan,PH,81.32,11.14,123.72,
110,Arambagh,IN,81.39,22.88,87.78,
111,Tautira,PF,75.2,-17.73,-149.15,
117,Buchanan,LR,82.4,5.88,-10.05,
118,Padang,ID,76.3,-0.95,100.35,
123,Marsa Matruh,EG,84.2,31.35,27.25,
124,Dunmore Town,BS,81.59,25.5,-76.65,
125,Port-Gentil,GA,84.2,-0.72,8.78,
127,Coruripe,BR,84.06,-10.13,-36.18,
128,Impfondo,CG,78.84,1.64,18.07,
131,Honavar,IN,79.23,14.28,74.45,
132,Mbigou,GA,77.43,-1.9,11.91,
133,Victoria,HK,78.01,22.29,114.16,
134,Salalah,OM,80.6,17.02,54.09,
