City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kokstad,ZA,-30.55,29.42,74.77,44,41,11.34
1,Gilgit,PK,35.92,74.31,70.75,23,65,6.62
2,Busselton,AU,-33.65,115.33,52.0,68,78,5.03
3,Bethel,US,41.37,-73.41,57.99,50,1,12.75
4,Bud,US,39.45,-86.18,66.0,53,0,5.68
5,Cape Town,ZA,-33.93,18.42,69.01,55,75,8.05
6,Rikitea,PF,-23.12,-134.97,73.11,80,52,17.72
7,Provideniya,RU,64.38,-173.3,41.18,94,100,9.6
8,Hermanus,ZA,-34.42,19.23,64.99,71,5,4.0
9,Kavieng,PG,-2.57,150.8,81.72,76,76,6.24
10,Punta Arenas,CL,-53.15,-70.92,44.6,70,75,13.87
11,Mahebourg,MU,-20.41,57.7,77.0,78,40,11.41
12,Lavrentiya,RU,65.58,-171.0,40.91,94,100,21.77
13,Avarua,CK,-21.21,-159.78,75.2,94,38,12.75
14,Lahad Datu,MY,5.03,118.33,76.8,88,100,2.48
15,Albany,US,42.6,-73.97,52.0,58,48,1.99
16,Zaqatala,AZ,41.63,46.64,66.2,52,20,2.24
17,Kapaa,US,22.08,-159.32,80.6,74,20,9.17
18,Yellowknife,CA,62.46,-114.35,35.6,100,90,9.17
19,Mount Gambier,AU,-37.83,140.77,50.0,87,90,16.11
20,Zhangjiakou,CN,40.81,114.88,55.08,53,99,6.91
21,Qaanaaq,GL,77.48,-69.36,16.16,74,92,7.23
22,Sibolga,ID,1.74,98.78,75.65,86,100,5.08
23,Ushuaia,AR,-54.8,-68.3,44.6,70,75,5.82
24,Skjervoy,NO,70.03,20.97,57.2,67,75,16.11
25,Hilo,US,19.73,-155.09,70.0,60,1,3.56
26,Hithadhoo,MV,-0.6,73.08,82.72,73,100,11.5
27,Palu,ID,-0.89,119.87,77.32,82,100,2.98
28,East London,ZA,-33.02,27.91,69.8,83,52,13.87
29,Alta Floresta,BR,-9.88,-56.09,114.49,15,0,0.78
30,Benguela,AO,-12.58,13.41,78.8,74,75,6.93
31,Upernavik,GL,72.79,-56.15,31.68,88,31,8.75
32,Nikolskoye,RU,59.7,30.79,57.2,82,90,4.47
33,Taoudenni,ML,22.68,-3.98,100.65,10,0,16.31
34,Vila Franca Do Campo,PT,37.72,-25.43,73.4,78,40,8.05
